investec,absa,nedbank,discovery_bank,capitec,africa_bank,tyme_bank,bank_zero,standard_bank
0,0,0.375,0,0,0,0,0,0
0,0,0.375,0,0,0,0,0,0
0,0,0.375,0,0,0,0,0,0
0,0,0.7386363636363636,0,0,0,0,0,0
0,0,0.7386363636363636,0,0,0,0,0,0
0,0,0.7386363636363636,0,0,0,0,0,0
0,0,0.8386363636363636,0,0,0,0,0,0
0,0,0.9068181818181817,0,0,0,0,0,0
0,0,1.2249999999999999,0,0,0,0,0,0
0,0,1.2249999999999999,0,0,0,0,0,0
0,-0.5,1.2249999999999999,0,0,0,0,0,0
0,-0.5,1.2249999999999999,0,0,0,0,0,0
0,-0.5,1.2249999999999999,0,0,0,0,0,0
0,-0.5,1.2249999999999999,0,0,0,0,0,0
0,-0.5,1.2249999999999999,0,0,0,0,0,0
0,-0.5,1.543181818181818,0,0,0,0,0,0
0,-0.5,1.543181818181818,0,0,0,0,0,0
0,-0.5,1.918181818181818,0,0,0,0,0,0
0,-0.5,2.0545454545454542,0,0,0,0,0,0
0,-0.5,2.4295454545454542,0,0,0,0,0,0
0,-0.5,2.229545454545454,0,0,0,0,0,0
0,-0.5,2.584895833333333,0,0,0,0,0,0
0,-0.5,2.584895833333333,0,0,0,0,0,0
0,-0.5,2.584895833333333,0,0,0,0,0,0
0,-0.5,2.584895833333333,0,0,0,0,0,0
0,-0.5,2.9030776515151513,0,0,0,0,0,0
0,-0.5,2.9030776515151513,0,0.6,0,0,0,0
0,-0.5,3.2155776515151513,0,0.6,0,0,0,0
0,-0.5,3.5337594696969696,0,0.6,0,0,0,0
0,-0.5,3.5337594696969696,0,0.6,0,0,0,0
0,-0.5,3.8891098484848485,0,0.6,0,0,0,0
0,-0.5,3.8891098484848485,0,0.6,0,0,0,0
0,-0.5,3.8891098484848485,0,0.6,0,0,0,0
0,-0.5,4.244460227272727,0,0.6,0,0,0,0
0,-0.5,5.044460227272727,0,0.6,0,0,0,0
0,-0.5,5.044460227272727,0,0.6,0,0,0,0
0,-0.5,5.544460227272727,0,0.6,0,0,0,0
0,-0.5,5.544460227272727,0,0.6,0,0,0,0
0,-0.5,5.544460227272727,0,0.6,0,0,0,0
0,-0.5,5.899810606060606,0,0.6,0,0,0,0
0,-0.5,5.899810606060606,0,0.6,0,0,0,0
0,-0.5,6.255160984848485,0,0.6,0,0,0,0
0,-0.5,6.255160984848485,0,0.6,0,0,0,0
0,-0.5,6.255160984848485,0,0.6,0,0,0,0
0,-0.5,6.573342803030303,0,0.6,0,0,0,0
0,-0.5,6.573342803030303,0,0.6,0,0,0,0
0,-1.0,6.573342803030303,0,0.6,0,0,0,0
0,-1.0,6.948342803030303,0,0.6,0,0,0,0
0,-1.0,7.435842803030303,0,0.6,0,0,0,0
0,-1.0,8.035842803030302,0,0.6,0,0,0,0
0,-1.0,8.535842803030302,0,0.6,0,0,0,0
0,-1.5,8.535842803030302,0,0.6,0,0,0,0
0,-1.5,8.535842803030302,0,0.6,0,0,0,0
0,-1.5,9.035842803030302,0,0.6,0,0,0,0
0,-1.5,9.035842803030302,0,0.85,0,0,0,0
0,-1.5,9.385842803030302,0,0.85,0,0,0,0
0,-1.5,9.385842803030302,0,0.85,0,0,0,0
0.0,-1.5,9.385842803030302,0,0.85,0,0,0,0
0.0,-1.5,9.385842803030302,0,0.85,0,0,0,0
0.0,-1.5,9.385842803030302,0,0.85,0,0,0,0
0.0,-1.5,9.385842803030302,0,0.85,0,0,0,0
0.0,-1.5,9.385842803030302,0,0.85,0,0,0,0
0.0,-1.5,9.385842803030302,0,0.85,0,0,0,0
0.0,-1.5,9.385842803030302,0,0.85,0,0,0,0
0.0,-1.5,9.795217803030303,0,0.85,0,0,0,0
0.0,-1.5,9.795217803030303,0,0.85,0,0,0,0
0.0,-1.5,9.795217803030303,0,0.85,0,0,0,0
0.0,-1.5,9.795217803030303,0,0.85,0,0,0,0
0.0,-1.5,10.145217803030302,0,0.85,0,0,0,0
0.0,-1.5,10.145217803030302,0,0.85,0,0,0,0
0.0,-1.5,10.145217803030302,0,0.85,0,0,0,0
0.0,-1.5,10.145217803030302,0,0.85,0,0,0,0
0.0,-1.5,10.545217803030303,0,0.85,0,0,0,0
0.0,-1.5,10.545217803030303,0,0.85,0,0,0,0
0.0,-1.5,10.920217803030303,0,0.85,0,0,0,0
0.0,-1.5,10.920217803030303,0,0.85,0,0,0,0
0.0,-1.5,11.131256764069263,0,0.85,0,0,0,0
0.0,-1.5,11.131256764069263,0,0.85,0,0,0,0
0.0,-1.5,11.506256764069263,0,0.85,0,0,0,0
0.0,-1.5,11.861607142857142,0,0.85,0,0,0,0
0.0,-1.5,12.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,12.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,13.725243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.225243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.600243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.600243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.600243506493506,0,0.85,0,0,0,0
0.0,-1.5,14.918425324675324,0,0.85,0,0,0,0
0.0,-1.5,14.918425324675324,0,0.85,0,0,0,0
0.0,-1.5,14.918425324675324,0,0.85,0,0,0,0
0.0,-2.0,14.918425324675324,0,0.85,0,0,0,0
0.0,-2.0,14.918425324675324,0,0.85,0,0,0,0
0.0,-2.0,14.918425324675324,0,0.85,0,0,0,0
0.0,-2.0,14.918425324675324,0,0.85,0,0,0,0
